model,year,mpg,cylinders,horsepower,weight
chevrolet chevelle malibu,70,18.0,8,130.0,3504.0
buick skylark 320,70,15.0,8,165.0,3693.0
plymouth satellite,70,18.0,8,150.0,3436.0
amc rebel sst,70,16.0,8,150.0,3433.0
ford torino,70,17.0,8,140.0,3449.0
ford galaxie 500,70,15.0,8,198.0,4341.0
chevrolet impala,70,14.0,8,220.0,4354.0
plymouth fury iii,70,14.0,8,215.0,4312.0
pontiac catalina,70,14.0,8,225.0,4425.0
amc ambassador dpl,70,15.0,8,190.0,3850.0
dodge challenger se,70,15.0,8,170.0,3563.0
plymouth 'cuda 340,70,14.0,8,160.0,3609.0
chevrolet monte carlo,70,15.0,8,150.0,3761.0
buick estate wagon (sw),70,14.0,8,225.0,3086.0
toyota corona mark ii,70,24.0,4,95.0,2372.0
plymouth duster,70,22.0,6,95.0,2833.0
amc hornet,70,18.0,6,97.0,2774.0
ford maverick,70,21.0,6,85.0,2587.0
datsun pl510,70,27.0,4,88.0,2130.0
volkswagen 1131 deluxe sedan,70,26.0,4,46.0,1835.0
peugeot 504,70,25.0,4,87.0,2672.0
audi 100 ls,70,24.0,4,90.0,2430.0
saab 99e,70,25.0,4,95.0,2375.0
bmw 2002,70,26.0,4,113.0,2234.0
amc gremlin,70,21.0,6,90.0,2648.0
ford f250,70,10.0,8,215.0,4615.0
chevy c20,70,10.0,8,200.0,4376.0
dodge d200,70,11.0,8,210.0,4382.0
hi 1200d,70,9.0,8,193.0,4732.0
datsun pl510,71,27.0,4,88.0,2130.0
chevrolet vega 2300,71,28.0,4,90.0,2264.0
toyota corona,71,25.0,4,95.0,2228.0
amc gremlin,71,19.0,6,100.0,2634.0
plymouth satellite custom,71,16.0,6,105.0,3439.0
chevrolet chevelle malibu,71,17.0,6,100.0,3329.0
ford torino 500,71,19.0,6,88.0,3302.0
amc matador,71,18.0,6,100.0,3288.0
chevrolet impala,71,14.0,8,165.0,4209.0
pontiac catalina brougham,71,14.0,8,175.0,4464.0
ford galaxie 500,71,14.0,8,153.0,4154.0
plymouth fury iii,71,14.0,8,150.0,4096.0
dodge monaco (sw),71,12.0,8,180.0,4955.0
ford country squire (sw),71,13.0,8,170.0,4746.0
pontiac safari (sw),71,13.0,8,175.0,5140.0
amc hornet sportabout (sw),71,18.0,6,110.0,2962.0
chevrolet vega (sw),71,22.0,4,72.0,2408.0
pontiac firebird,71,19.0,6,100.0,3282.0
ford mustang,71,18.0,6,88.0,3139.0
mercury capri 2000,71,23.0,4,86.0,2220.0
opel 1900,71,28.0,4,90.0,2123.0
peugeot 304,71,30.0,4,70.0,2074.0
fiat 124b,71,30.0,4,76.0,2065.0
toyota corolla 1200,71,31.0,4,65.0,1773.0
datsun 1200,71,35.0,4,69.0,1613.0
volkswagen model 111,71,27.0,4,60.0,1834.0
plymouth cricket,71,26.0,4,70.0,1955.0
toyota corona hardtop,72,24.0,4,95.0,2278.0
dodge colt hardtop,72,25.0,4,80.0,2126.0
volkswagen type 3,72,23.0,4,54.0,2254.0
chevrolet vega,72,20.0,4,90.0,2408.0
ford pinto runabout,72,21.0,4,86.0,2226.0
chevrolet impala,72,13.0,8,165.0,4274.0
pontiac catalina,72,14.0,8,175.0,4385.0
plymouth fury iii,72,15.0,8,150.0,4135.0
ford galaxie 500,72,14.0,8,153.0,4129.0
amc ambassador sst,72,17.0,8,150.0,3672.0
mercury marquis,72,11.0,8,208.0,4633.0
buick lesabre custom,72,13.0,8,155.0,4502.0
oldsmobile delta 88 royale,72,12.0,8,160.0,4456.0
chrysler newport royal,72,13.0,8,190.0,4422.0
mazda rx2 coupe,72,19.0,3,97.0,2330.0
amc matador (sw),72,15.0,8,150.0,3892.0
chevrolet chevelle concours (sw),72,13.0,8,130.0,4098.0
ford gran torino (sw),72,13.0,8,140.0,4294.0
plymouth satellite custom (sw),72,14.0,8,150.0,4077.0
volvo 145e (sw),72,18.0,4,112.0,2933.0
volkswagen 411 (sw),72,22.0,4,76.0,2511.0
peugeot 504 (sw),72,21.0,4,87.0,2979.0
renault 12 (sw),72,26.0,4,69.0,2189.0
ford pinto (sw),72,22.0,4,86.0,2395.0
datsun 510 (sw),72,28.0,4,92.0,2288.0
toyouta corona mark ii (sw),72,23.0,4,97.0,2506.0
dodge colt (sw),72,28.0,4,80.0,2164.0
toyota corolla 1600 (sw),72,27.0,4,88.0,2100.0
buick century 350,73,13.0,8,175.0,4100.0
amc matador,73,14.0,8,150.0,3672.0
chevrolet malibu,73,13.0,8,145.0,3988.0
ford gran torino,73,14.0,8,137.0,4042.0
dodge coronet custom,73,15.0,8,150.0,3777.0
mercury marquis brougham,73,12.0,8,198.0,4952.0
chevrolet caprice classic,73,13.0,8,150.0,4464.0
ford ltd,73,13.0,8,158.0,4363.0
plymouth fury gran sedan,73,14.0,8,150.0,4237.0
chrysler new yorker brougham,73,13.0,8,215.0,4735.0
buick electra 225 custom,73,12.0,8,225.0,4951.0
amc ambassador brougham,73,13.0,8,175.0,3821.0
plymouth valiant,73,18.0,6,105.0,3121.0
chevrolet nova custom,73,16.0,6,100.0,3278.0
amc hornet,73,18.0,6,100.0,2945.0
ford maverick,73,18.0,6,88.0,3021.0
plymouth duster,73,23.0,6,95.0,2904.0
volkswagen super beetle,73,26.0,4,46.0,1950.0
chevrolet impala,73,11.0,8,150.0,4997.0
ford country,73,12.0,8,167.0,4906.0
plymouth custom suburb,73,13.0,8,170.0,4654.0
oldsmobile vista cruiser,73,12.0,8,180.0,4499.0
amc gremlin,73,18.0,6,100.0,2789.0
toyota carina,73,20.0,4,88.0,2279.0
chevrolet vega,73,21.0,4,72.0,2401.0
datsun 610,73,22.0,4,94.0,2379.0
maxda rx3,73,18.0,3,90.0,2124.0
ford pinto,73,19.0,4,85.0,2310.0
mercury capri v6,73,21.0,6,107.0,2472.0
fiat 124 sport coupe,73,26.0,4,90.0,2265.0
chevrolet monte carlo s,73,15.0,8,145.0,4082.0
pontiac grand prix,73,16.0,8,230.0,4278.0
fiat 128,73,29.0,4,49.0,1867.0
opel manta,73,24.0,4,75.0,2158.0
audi 100ls,73,20.0,4,91.0,2582.0
volvo 144ea,73,19.0,4,112.0,2868.0
dodge dart custom,73,15.0,8,150.0,3399.0
saab 99le,73,24.0,4,110.0,2660.0
toyota mark ii,73,20.0,6,122.0,2807.0
oldsmobile omega,73,11.0,8,180.0,3664.0
plymouth duster,74,20.0,6,95.0,3102.0
amc hornet,74,19.0,6,100.0,2901.0
chevrolet nova,74,15.0,6,100.0,3336.0
datsun b210,74,31.0,4,67.0,1950.0
ford pinto,74,26.0,4,80.0,2451.0
toyota corolla 1200,74,32.0,4,65.0,1836.0
chevrolet vega,74,25.0,4,75.0,2542.0
chevrolet chevelle malibu classic,74,16.0,6,100.0,3781.0
amc matador,74,16.0,6,110.0,3632.0
plymouth satellite sebring,74,18.0,6,105.0,3613.0
ford gran torino,74,16.0,8,140.0,4141.0
buick century luxus (sw),74,13.0,8,150.0,4699.0
dodge coronet custom (sw),74,14.0,8,150.0,4457.0
ford gran torino (sw),74,14.0,8,140.0,4638.0
amc matador (sw),74,14.0,8,150.0,4257.0
audi fox,74,29.0,4,83.0,2219.0
volkswagen dasher,74,26.0,4,67.0,1963.0
opel manta,74,26.0,4,78.0,2300.0
toyota corona,74,31.0,4,52.0,1649.0
datsun 710,74,32.0,4,61.0,2003.0
dodge colt,74,28.0,4,75.0,2125.0
fiat 128,74,24.0,4,75.0,2108.0
fiat 124 tc,74,26.0,4,75.0,2246.0
honda civic,74,24.0,4,97.0,2489.0
subaru,74,26.0,4,93.0,2391.0
fiat x1.9,74,31.0,4,67.0,2000.0
plymouth valiant custom,75,19.0,6,95.0,3264.0
chevrolet nova,75,18.0,6,105.0,3459.0
mercury monarch,75,15.0,6,72.0,3432.0
ford maverick,75,15.0,6,72.0,3158.0
pontiac catalina,75,16.0,8,170.0,4668.0
chevrolet bel air,75,15.0,8,145.0,4440.0
plymouth grand fury,75,16.0,8,150.0,4498.0
ford ltd,75,14.0,8,148.0,4657.0
buick century,75,17.0,6,110.0,3907.0
chevroelt chevelle malibu,75,16.0,6,105.0,3897.0
amc matador,75,15.0,6,110.0,3730.0
plymouth fury,75,18.0,6,95.0,3785.0
buick skyhawk,75,21.0,6,110.0,3039.0
chevrolet monza 2+2,75,20.0,8,110.0,3221.0
ford mustang ii,75,13.0,8,129.0,3169.0
toyota corolla,75,29.0,4,75.0,2171.0
ford pinto,75,23.0,4,83.0,2639.0
amc gremlin,75,20.0,6,100.0,2914.0
pontiac astro,75,23.0,4,78.0,2592.0
toyota corona,75,24.0,4,96.0,2702.0
volkswagen dasher,75,25.0,4,71.0,2223.0
datsun 710,75,24.0,4,97.0,2545.0
ford pinto,75,18.0,6,97.0,2984.0
volkswagen rabbit,75,29.0,4,70.0,1937.0
amc pacer,75,19.0,6,90.0,3211.0
audi 100ls,75,23.0,4,95.0,2694.0
peugeot 504,75,23.0,4,88.0,2957.0
volvo 244dl,75,22.0,4,98.0,2945.0
saab 99le,75,25.0,4,115.0,2671.0
honda civic cvcc,75,33.0,4,53.0,1795.0
fiat 131,76,28.0,4,86.0,2464.0
opel 1900,76,25.0,4,81.0,2220.0
capri ii,76,25.0,4,92.0,2572.0
dodge colt,76,26.0,4,79.0,2255.0
renault 12tl,76,27.0,4,83.0,2202.0
chevrolet chevelle malibu classic,76,17.5,8,140.0,4215.0
dodge coronet brougham,76,16.0,8,150.0,4190.0
amc matador,76,15.5,8,120.0,3962.0
ford gran torino,76,14.5,8,152.0,4215.0
plymouth valiant,76,22.0,6,100.0,3233.0
chevrolet nova,76,22.0,6,105.0,3353.0
ford maverick,76,24.0,6,81.0,3012.0
amc hornet,76,22.5,6,90.0,3085.0
chevrolet chevette,76,29.0,4,52.0,2035.0
chevrolet woody,76,24.5,4,60.0,2164.0
vw rabbit,76,29.0,4,70.0,1937.0
honda civic,76,33.0,4,53.0,1795.0
dodge aspen se,76,20.0,6,100.0,3651.0
ford granada ghia,76,18.0,6,78.0,3574.0
pontiac ventura sj,76,18.5,6,110.0,3645.0
amc pacer d/l,76,17.5,6,95.0,3193.0
volkswagen rabbit,76,29.5,4,71.0,1825.0
datsun b-210,76,32.0,4,70.0,1990.0
toyota corolla,76,28.0,4,75.0,2155.0
ford pinto,76,26.5,4,72.0,2565.0
volvo 245,76,20.0,4,102.0,3150.0
plymouth volare premier v8,76,13.0,8,150.0,3940.0
peugeot 504,76,19.0,4,88.0,3270.0
toyota mark ii,76,19.0,6,108.0,2930.0
mercedes-benz 280s,76,16.5,6,120.0,3820.0
cadillac seville,76,16.5,8,180.0,4380.0
chevy c10,76,13.0,8,145.0,4055.0
ford f108,76,13.0,8,130.0,3870.0
dodge d100,76,13.0,8,150.0,3755.0
honda accord cvcc,77,31.5,4,68.0,2045.0
buick opel isuzu deluxe,77,30.0,4,80.0,2155.0
renault 5 gtl,77,36.0,4,58.0,1825.0
plymouth arrow gs,77,25.5,4,96.0,2300.0
datsun f-10 hatchback,77,33.5,4,70.0,1945.0
chevrolet caprice classic,77,17.5,8,145.0,3880.0
oldsmobile cutlass supreme,77,17.0,8,110.0,4060.0
dodge monaco brougham,77,15.5,8,145.0,4140.0
mercury cougar brougham,77,15.0,8,130.0,4295.0
chevrolet concours,77,17.5,6,110.0,3520.0
buick skylark,77,20.5,6,105.0,3425.0
plymouth volare custom,77,19.0,6,100.0,3630.0
ford granada,77,18.5,6,98.0,3525.0
pontiac grand prix lj,77,16.0,8,180.0,4220.0
chevrolet monte carlo landau,77,15.5,8,170.0,4165.0
chrysler cordoba,77,15.5,8,190.0,4325.0
ford thunderbird,77,16.0,8,149.0,4335.0
volkswagen rabbit custom,77,29.0,4,78.0,1940.0
pontiac sunbird coupe,77,24.5,4,88.0,2740.0
toyota corolla liftback,77,26.0,4,75.0,2265.0
ford mustang ii 2+2,77,25.5,4,89.0,2755.0
chevrolet chevette,77,30.5,4,63.0,2051.0
dodge colt m/m,77,33.5,4,83.0,2075.0
subaru dl,77,30.0,4,67.0,1985.0
volkswagen dasher,77,30.5,4,78.0,2190.0
datsun 810,77,22.0,6,97.0,2815.0
bmw 320i,77,21.5,4,110.0,2600.0
mazda rx-4,77,21.5,3,110.0,2720.0
volkswagen rabbit custom diesel,78,43.1,4,48.0,1985.0
ford fiesta,78,36.1,4,66.0,1800.0
mazda glc deluxe,78,32.8,4,52.0,1985.0
datsun b210 gx,78,39.4,4,70.0,2070.0
honda civic cvcc,78,36.1,4,60.0,1800.0
oldsmobile cutlass salon brougham,78,19.9,8,110.0,3365.0
dodge diplomat,78,19.4,8,140.0,3735.0
mercury monarch ghia,78,20.2,8,139.0,3570.0
pontiac phoenix lj,78,19.2,6,105.0,3535.0
chevrolet malibu,78,20.5,6,95.0,3155.0
ford fairmont (auto),78,20.2,6,85.0,2965.0
ford fairmont (man),78,25.1,4,88.0,2720.0
plymouth volare,78,20.5,6,100.0,3430.0
amc concord,78,19.4,6,90.0,3210.0
buick century special,78,20.6,6,105.0,3380.0
mercury zephyr,78,20.8,6,85.0,3070.0
dodge aspen,78,18.6,6,110.0,3620.0
amc concord d/l,78,18.1,6,120.0,3410.0
chevrolet monte carlo landau,78,19.2,8,145.0,3425.0
buick regal sport coupe (turbo),78,17.7,6,165.0,3445.0
ford futura,78,18.1,8,139.0,3205.0
dodge magnum xe,78,17.5,8,140.0,4080.0
chevrolet chevette,78,30.0,4,68.0,2155.0
toyota corona,78,27.5,4,95.0,2560.0
datsun 510,78,27.2,4,97.0,2300.0
dodge omni,78,30.9,4,75.0,2230.0
toyota celica gt liftback,78,21.1,4,95.0,2515.0
plymouth sapporo,78,23.2,4,105.0,2745.0
oldsmobile starfire sx,78,23.8,4,85.0,2855.0
datsun 200-sx,78,23.9,4,97.0,2405.0
audi 5000,78,20.3,5,103.0,2830.0
volvo 264gl,78,17.0,6,125.0,3140.0
saab 99gle,78,21.6,4,115.0,2795.0
peugeot 604sl,78,16.2,6,133.0,3410.0
volkswagen scirocco,78,31.5,4,71.0,1990.0
honda accord lx,78,29.5,4,68.0,2135.0
pontiac lemans v6,79,21.5,6,115.0,3245.0
mercury zephyr 6,79,19.8,6,85.0,2990.0
ford fairmont 4,79,22.3,4,88.0,2890.0
amc concord dl 6,79,20.2,6,90.0,3265.0
dodge aspen 6,79,20.6,6,110.0,3360.0
chevrolet caprice classic,79,17.0,8,130.0,3840.0
ford ltd landau,79,17.6,8,129.0,3725.0
mercury grand marquis,79,16.5,8,138.0,3955.0
dodge st. regis,79,18.2,8,135.0,3830.0
buick estate wagon (sw),79,16.9,8,155.0,4360.0
ford country squire (sw),79,15.5,8,142.0,4054.0
chevrolet malibu classic (sw),79,19.2,8,125.0,3605.0
chrysler lebaron town @ country (sw),79,18.5,8,150.0,3940.0
vw rabbit custom,79,31.9,4,71.0,1925.0
maxda glc deluxe,79,34.1,4,65.0,1975.0
dodge colt hatchback custom,79,35.7,4,80.0,1915.0
amc spirit dl,79,27.4,4,80.0,2670.0
mercedes benz 300d,79,25.4,5,77.0,3530.0
cadillac eldorado,79,23.0,8,125.0,3900.0
peugeot 504,79,27.2,4,71.0,3190.0
oldsmobile cutlass salon brougham,79,23.9,8,90.0,3420.0
plymouth horizon,79,34.2,4,70.0,2200.0
plymouth horizon tc3,79,34.5,4,70.0,2150.0
datsun 210,79,31.8,4,65.0,2020.0
fiat strada custom,79,37.3,4,69.0,2130.0
buick skylark limited,79,28.4,4,90.0,2670.0
chevrolet citation,79,28.8,6,115.0,2595.0
oldsmobile omega brougham,79,26.8,6,115.0,2700.0
pontiac phoenix,79,33.5,4,90.0,2556.0
vw rabbit,80,41.5,4,76.0,2144.0
toyota corolla tercel,80,38.1,4,60.0,1968.0
chevrolet chevette,80,32.1,4,70.0,2120.0
datsun 310,80,37.2,4,65.0,2019.0
chevrolet citation,80,28.0,4,90.0,2678.0
ford fairmont,80,26.4,4,88.0,2870.0
amc concord,80,24.3,4,90.0,3003.0
dodge aspen,80,19.1,6,90.0,3381.0
audi 4000,80,34.3,4,78.0,2188.0
toyota corona liftback,80,29.8,4,90.0,2711.0
mazda 626,80,31.3,4,75.0,2542.0
datsun 510 hatchback,80,37.0,4,92.0,2434.0
toyota corolla,80,32.2,4,75.0,2265.0
mazda glc,80,46.6,4,65.0,2110.0
dodge colt,80,27.9,4,105.0,2800.0
datsun 210,80,40.8,4,65.0,2110.0
vw rabbit c (diesel),80,44.3,4,48.0,2085.0
vw dasher (diesel),80,43.4,4,48.0,2335.0
audi 5000s (diesel),80,36.4,5,67.0,2950.0
mercedes-benz 240d,80,30.0,4,67.0,3250.0
honda civic 1500 gl,80,44.6,4,67.0,1850.0
subaru dl,80,33.8,4,67.0,2145.0
vokswagen rabbit,80,29.8,4,62.0,1845.0
datsun 280-zx,80,32.7,6,132.0,2910.0
mazda rx-7 gs,80,23.7,3,100.0,2420.0
triumph tr7 coupe,80,35.0,4,88.0,2500.0
honda accord,80,32.4,4,72.0,2290.0
plymouth reliant,81,27.2,4,84.0,2490.0
buick skylark,81,26.6,4,84.0,2635.0
dodge aries wagon (sw),81,25.8,4,92.0,2620.0
chevrolet citation,81,23.5,6,110.0,2725.0
plymouth reliant,81,30.0,4,84.0,2385.0
toyota starlet,81,39.1,4,58.0,1755.0
plymouth champ,81,39.0,4,64.0,1875.0
honda civic 1300,81,35.1,4,60.0,1760.0
subaru,81,32.3,4,67.0,2065.0
datsun 210 mpg,81,37.0,4,65.0,1975.0
toyota tercel,81,37.7,4,62.0,2050.0
mazda glc 4,81,34.1,4,68.0,1985.0
plymouth horizon 4,81,34.7,4,63.0,2215.0
ford escort 4w,81,34.4,4,65.0,2045.0
ford escort 2h,81,29.9,4,65.0,2380.0
volkswagen jetta,81,33.0,4,74.0,2190.0
honda prelude,81,33.7,4,75.0,2210.0
toyota corolla,81,32.4,4,75.0,2350.0
datsun 200sx,81,32.9,4,100.0,2615.0
mazda 626,81,31.6,4,74.0,2635.0
peugeot 505s turbo diesel,81,28.1,4,80.0,3230.0
volvo diesel,81,30.7,6,76.0,3160.0
toyota cressida,81,25.4,6,116.0,2900.0
datsun 810 maxima,81,24.2,6,120.0,2930.0
buick century,81,22.4,6,110.0,3415.0
oldsmobile cutlass ls,81,26.6,8,105.0,3725.0
ford granada gl,81,20.2,6,88.0,3060.0
chrysler lebaron salon,81,17.6,6,85.0,3465.0
chevrolet cavalier,82,28.0,4,88.0,2605.0
chevrolet cavalier wagon,82,27.0,4,88.0,2640.0
chevrolet cavalier 2-door,82,34.0,4,88.0,2395.0
pontiac j2000 se hatchback,82,31.0,4,85.0,2575.0
dodge aries se,82,29.0,4,84.0,2525.0
pontiac phoenix,82,27.0,4,90.0,2735.0
ford fairmont futura,82,24.0,4,92.0,2865.0
volkswagen rabbit l,82,36.0,4,74.0,1980.0
mazda glc custom l,82,37.0,4,68.0,2025.0
mazda glc custom,82,31.0,4,68.0,1970.0
plymouth horizon miser,82,38.0,4,63.0,2125.0
mercury lynx l,82,36.0,4,70.0,2125.0
nissan stanza xe,82,36.0,4,88.0,2160.0
honda accord,82,36.0,4,75.0,2205.0
toyota corolla,82,34.0,4,70.0,2245.0
honda civic,82,38.0,4,67.0,1965.0
honda civic (auto),82,32.0,4,67.0,1965.0
datsun 310 gx,82,38.0,4,67.0,1995.0
buick century limited,82,25.0,6,110.0,2945.0
oldsmobile cutlass ciera (diesel),82,38.0,6,85.0,3015.0
chrysler lebaron medallion,82,26.0,4,92.0,2585.0
ford granada l,82,22.0,6,112.0,2835.0
toyota celica gt,82,32.0,4,96.0,2665.0
dodge charger 2.2,82,36.0,4,84.0,2370.0
chevrolet camaro,82,27.0,4,90.0,2950.0
ford mustang gl,82,27.0,4,86.0,2790.0
vw pickup,82,44.0,4,52.0,2130.0
dodge rampage,82,32.0,4,84.0,2295.0
ford ranger,82,28.0,4,79.0,2625.0
chevy s-10,82,31.0,4,82.0,2720.0
