Age,Income
28,28667
39,48929
34,88143
45,128510
45,25290
30,59025
30,37725
46,29000
58,41293
50,44013
32,40468
36,167355
41,93143
42,24809
32,24628
37,24238
36,60621
21,69375
45,43621
50,30204
32,98262
39,47635
24,60296
32,40975
55,24073
40,72920
33,71693
45,28504
31,39603
38,11624
50,97393
34,13108
46,48468
26,43612
42,96471
42,42742
28,42391
54,57874
34,45302
52,84897
24,107063
28,68063
23,133813
41,135841
38,67937
37,52763
23,108890
37,65513
31,6449
36,164292
25,22986
39,30545
38,45415
21,62678
39,18376
53,41085
45,46285
69,98317
58,31865
45,5310
30,58072
39,63981
35,32755
28,43125
33,195337
23,41647
34,42758
64,7560
26,38132
26,16867
43,49690
38,64113
35,65635
25,160747
29,46528
52,47399
34,29714
37,14850
21,109191
31,42418
34,86996
39,11110
53,15236
39,31511
42,36497
27,15050
43,153748
47,19031
40,20012
34,64245
27,82285
38,17430
36,93895
57,45993
35,21646
36,26455
37,67035
47,17736
23,119613
41,37438
44,18469
42,53089
46,56636
37,108489
60,43052
26,56740
22,44306
38,57309
25,56702
57,110296
31,136176
28,77658
35,14254
53,195212
50,29396
29,83543
32,118832
28,35326
52,34984
42,84770
43,76682
52,104626
45,47031
39,56446
30,35989
27,70289
31,134162
40,64786
24,31023
23,64375
31,87370
38,73335
49,57889
30,47007
27,66785
26,35510
71,44198
27,53470
31,46844
38,38722
21,135774
52,21746
62,20603
37,62752
25,42462
31,13438
43,34807
26,70706
37,19831
30,70124
62,19855
41,72027
29,119060
25,68255
45,40923
45,19272
44,22945
53,32607
40,14297
38,39958
28,183897
42,84185
57,29478
51,26599
70,50484
47,27486
37,5936
34,137696
51,94946
61,15597
38,60198
32,89260
31,11654
50,87386
28,13927
43,51023
32,35923
46,22265
45,66622
42,59358
39,8031
36,146595
48,12096
42,29580
34,83515
22,57727
32,46167
43,34315
35,54761
32,74711
40,74701
26,32169
27,60046
43,70128
26,39725
32,92213
39,67502
25,63319
46,44969
56,15415
63,96920
50,112170
39,32079
55,105786
43,39010
42,15518
23,42370
34,63419
30,121034
31,65870
24,37796
44,15668
36,167979
40,15000
39,23066
32,86476
34,115700
34,61636
35,60437
64,128396
32,129186
21,55603
54,37220
50,87940
32,36361
39,35490
32,26031
28,39245
29,97383
34,92532
24,73854
40,22620
44,116831
55,17317
33,30050
31,70699
32,48705
47,116592
52,155336
34,17661
20,31852
23,41972
26,71254
38,22930
25,70427
31,165394
24,40537
39,79604
22,116408
49,57613
31,23210
44,18804
37,31547
23,63299
38,52643
40,33840
28,24798
46,37617
39,81125
37,56034
39,94918
41,112591
29,33633
45,150313
49,12028
43,26312
41,16763
35,9383
49,53596
41,9137
31,8713
36,35836
33,153165
22,27098
38,79077
48,75615
57,11646
41,113866
24,175792
33,112754
23,97795
27,61485
38,13654
27,23569
38,163277
36,89985
49,135755
42,63917
52,44861
30,26241
29,32563
42,131542
52,17779
64,66426
40,56102
31,22015
39,70587
47,44487
39,55019
26,16793
30,11124
66,24340
34,21432
38,102393
36,64444
28,163977
27,94696
36,77319
67,23957
33,113599
42,87906
27,32182
24,46922
27,55549
27,16991
30,139456
37,115495
45,129972
50,183642
40,25159
48,47892
38,62116
42,73445
37,137049
51,124668
23,35934
45,101392
26,194726
24,23918
24,118621
23,6306
36,18235
33,73612
85,106844
25,43335
31,57464
76,60610
33,36997
50,116066
38,138803
57,148889
51,110426
45,63200
22,112821
59,128298
36,19098
28,193845
50,42958
29,27500
26,51084
43,190731
61,94201
37,108634
34,113874
22,84486
39,19577
59,16616
60,20663
54,7070
28,30220
39,58211
33,106500
32,131484
23,96476
49,28098
41,94604
25,134211
51,28730
45,101500
31,81267
47,19110
36,106142
22,72295
34,41416
34,48244
29,56335
47,16579
43,27047
38,63104
36,63814
35,118033
30,104494
39,111010
44,26461
30,18976
36,39164
25,92423
42,54481
51,46807
38,26163
71,74687
27,63459
21,12198
35,16064
55,66903
48,32855
35,16597
52,53273
29,42553
31,104317
42,87589
43,146507
22,111837
30,196440
38,117257
55,30830
32,58217
26,67554
36,169827
42,86655
31,19386
49,14202
52,70270
44,122028
30,27181
55,12549
55,72207
43,45053
53,55195
29,14558
36,109622
46,84749
58,116413
40,24849
53,27986
41,38962
23,28771
47,65202
32,12826
55,36158
35,92069
26,43011
59,6177
21,15038
41,151716
26,5869
27,22170
40,87742
64,19600
42,59730
44,50460
34,112173
26,30791
28,15378
44,39790
23,30003
35,8043
27,100384
39,51840
37,42528
38,18184
47,37751
55,31122
28,40520
42,43900
42,41572
30,49359
53,93125
37,111912
37,22306
31,52450
32,20585
31,48916
63,110544
28,31291
41,6971
38,6491
23,40057
37,31707
28,32339
25,17662
50,131123
22,38280
60,20488
31,65453
33,10455
26,92225
26,13263
33,62219
39,23169
26,31018
62,16671
27,13156
44,72584
35,67842
44,5456
31,123748
21,54367
35,7399
42,9257
24,56217
41,19009
32,68831
38,29023
29,14878
30,18178
55,75746
47,17749
26,36804
40,98945
51,80943
43,47232
36,9040
26,25450
23,78206
47,11425
26,38139
36,94611
50,63825
23,120872
41,18129
35,56644
27,7505
24,19459
22,88344
29,79651
25,46281
33,74867
23,19024
54,27368
55,53769
46,24845
28,76826
38,75961
52,53198
60,70468
24,102989
31,22909
42,34998
40,75120
40,42911
47,10219
42,96723
31,169920
27,95150
44,41578
32,19478
25,31070
43,56222
50,33424
23,13759
27,40698
34,65854
32,59745
23,85509
25,35209
34,150814
24,82210
47,28936
49,14116
26,79987
28,122247
34,10689
61,15896
45,108526
26,68077
54,123775
47,91366
33,73408
26,35275
23,56869
25,41503
51,104206
27,34366
32,56803
40,37033
39,129117
33,61075
32,7584
24,28589
34,63536
42,109782
44,25266
28,86170
49,157847
22,101913
52,21033
29,57041
26,43804
31,96543
48,24361
47,35230
32,101627
29,111736
37,91091
30,9678
22,38540
39,18507
36,70905
23,25238
44,12975
66,14491
46,125955
32,22028
31,25173
32,33625
34,80939
38,81444
39,44261
27,28485
49,55814
42,105457
27,28570
49,196483
22,46300
40,33300
27,50330
30,64041
32,35321
21,44997
34,129931
46,53586
41,38648
37,111603
37,93668
21,137492
39,80089
67,54242
29,29005
38,75685
48,30430
45,42163
31,124085
32,146119
59,40512
29,30602
28,95309
27,7480
36,41490
30,182079
37,7843
24,92792
33,56857
35,93442
45,46989
42,13858
29,9052
22,34698
30,66942
33,39689
21,47242
35,16040
48,33109
54,29951
29,39533
68,33859
21,23957
31,44976
45,89371
25,12450
34,70958
33,30314
47,114757
42,33603
32,18728
22,21837
42,31299
34,35203
49,52599
38,154582
56,66071
50,8058
35,88615
21,66410
24,129968
31,28760
38,70790
39,14262
36,27789
26,76678
50,23717
43,57036
32,62282
47,42127
25,46665
24,24270
36,146358
55,76089
27,85324
38,43431
24,91924
27,23444
24,130666
52,23905
34,43440
25,16108
41,90480
36,139020
33,35059
43,155470
27,45597
33,63013
30,32614
31,32467
27,34839
35,50428
39,43863
24,83332
28,21767
30,15246
42,50181
31,110001
34,30078
42,24343
27,12131
34,92291
39,135584
54,63203
32,123796
47,124013
40,130370
42,97938
43,147565
61,39223
29,57495
23,25743
29,106646
23,6630
42,92285
47,64646
55,22664
35,61965
36,90573
30,29623
25,55903
46,17978
26,148123
46,178562
50,139201
36,11944
53,71638
33,51451
28,42137
40,31725
33,17698
39,71157
34,61437
38,27234
57,85782
37,47837
52,8592
26,26523
20,118827
39,51183
37,90049
45,31228
47,106381
57,15618
39,47969
30,71346
47,77647
33,20904
39,75945
39,10393
34,107381
28,121168
34,41171
54,108137
41,22048
24,48102
38,70608
26,8197
95,52485
75,9312
42,108146
32,189248
33,34960
54,90711
29,114152
41,50912
35,31738
22,59845
25,90469
51,26945
51,37051
53,18144
31,81038
31,17158
40,41007
38,16450
65,49619
39,55549
27,24827
47,79026
47,22193
25,55601
51,44638
21,40828
49,72156
52,93929
48,14153
40,59185
31,10281
37,74965
29,53037
50,73834
27,30858
32,34870
44,11803
31,85075
39,137053
29,137873
50,34036
40,17252
35,22719
29,61823
47,70535
25,28599
28,48941
29,113952
38,45723
39,30992
64,57441
27,28399
46,52527
27,124553
32,185514
58,46118
26,40213
30,75074
46,59773
60,26418
25,34174
38,87641
33,28682
52,62062
25,38642
27,68919
23,24284
31,9766
28,96141
21,41153
26,10689
25,38444
43,22007
29,43142
52,113817
31,73633
50,130719
29,36443
33,72682
37,51885
36,6699
33,27385
33,26290
32,23486
33,26158
35,5818
33,10154
40,68738
50,56828
38,27852
34,45965
30,46330
49,61405
27,29217
38,22788
43,26122
43,33746
33,96726
26,124154
44,87239
37,30414
43,105086
38,156871
34,42501
55,73764
70,17196
37,189945
43,108282
22,29729
49,81200
78,88910
31,88731
48,49108
39,117185
34,52483
36,108332
45,73739
29,85201
35,20415
48,95056
41,56368
32,8846
26,25617
33,66702
55,150278
41,42201
34,56441
38,89055
23,90209
72,11399
39,38204
45,96981
55,104497
32,25501
46,11535
50,17654
41,61147
38,185456
51,47655
34,125026
29,122263
46,10287
42,23780
33,87880
21,8581
58,67001
39,86561
21,45019
36,20624
38,70006
31,19407
35,28668
36,113736
38,18478
50,56496
47,120757
45,64094
37,80097
39,26788
43,43611
38,28113
45,89650
66,38076
45,109909
39,37822
27,72634
35,58838
30,18035
27,30710
45,78150
24,60021
24,69636
41,119154
36,180026
34,171426
31,60631
21,107062
30,81873
30,85379
23,61452
46,48453
31,121157
51,15030
46,42436
59,69503
58,84999
38,18321
31,83479
53,115820
23,64561
29,46760
32,56033
33,14059
56,81537
38,11328
28,111820
38,27435
55,33592
26,135514
64,60006
27,63881
47,26589
41,94431
33,33706
28,46958
45,71289
48,72784
37,31278
33,11470
22,90274
27,48478
46,103866
34,64131
32,56442
31,139201
42,20127
76,20188
37,13868
51,34576
27,21780
50,66512
42,71135
34,111481
49,43969
29,24861
37,46809
22,163177
33,26577
32,50114
25,34957
23,15058
32,27781
32,42729
72,47666
56,81088
26,58193
36,29414
35,109419
33,12087
55,68566
36,100256
46,37808
50,42960
44,70917
35,38080
24,29767
35,27287
28,123863
28,162819
27,53576
32,64992
53,38531
34,85087
27,14712
44,43234
23,96126
24,83440
23,24576
35,14563
39,19995
27,60486
36,7258
42,102527
54,121936
37,19202
61,111730
37,99317
21,32055
35,99379
36,178134
27,39021
40,75720
26,23633
35,87756
64,37868
26,18758
24,82816
24,9373
25,179347
47,62299
39,33438
45,14152
24,57509
61,58507
50,78915
39,36407
54,7188
33,12241
35,12325
41,52062
30,93493
41,29496
36,57379
45,54220
28,79947
43,25235
35,24024
33,64109
54,41036
27,43099
26,153820
33,17590
37,22443
56,126956
31,41732
25,66538
57,75568
49,38731
22,131270
26,21983
47,23807
26,82488
38,67393
35,168116
31,33356
23,32618
55,49889
52,97733
43,124456
40,15398
33,42925
61,16367
42,28934
36,157867
31,59236
26,42996
61,38693
30,61256
28,43090
28,19493
44,14094
56,13975
36,57427
40,36029
32,11854
26,31349
41,44041
33,49655
22,45480
36,37540
36,54454
29,52915
20,56862
34,72339
36,21164
24,117319
47,80055
29,16555
21,64851
29,77791
24,152773
47,37264
42,51969
29,92132
24,52487
34,94017
42,100476
42,58051
28,49938
43,15586
58,181533
36,42650
34,125058
22,147240
36,5322
41,7653
26,43675
41,44598
23,14212
34,9243
49,31891
34,15359
25,60916
23,25533
25,42138
35,11889
41,64065
25,15271
47,6684
45,79774
24,113067
31,47920
33,69989
36,35197
34,31472
35,50933
25,15105
32,75801
22,59441
34,31501
51,10243
45,41147
29,109801
43,42229
31,30582
36,15426
23,133483
38,41537
30,66720
30,184675
26,59288
51,136779
34,57756
40,53432
46,46685
30,43543
30,15574
33,93697
34,30984
55,119423
49,45587
34,109042
22,64158
25,13587
28,6965
29,17082
47,84195
51,55584
22,45981
38,28412
46,36523
34,100802
36,26798
30,23938
40,78212
25,45190
47,36742
46,78375
28,29565
40,41116
47,41777
35,14686
38,141653
25,111841
35,45213
51,113595
35,19709
35,16369
28,81317
23,134449
39,66146
37,115529
25,113167
43,55326
28,27342
32,143502
35,70485
40,147598
39,83704
44,59583
30,132755
36,18595
41,10380
36,60144
44,21018
31,154686
37,58542
29,82582
34,25401
46,12452
25,37298
29,87171
45,12914
38,123078
47,51618
62,52472
59,110515
57,22081
37,88255
25,76345
43,76536
37,16896
43,77042
35,17228
27,20578
73,59850
51,76558
46,18275
33,57033
28,93350
30,48859
39,84547
29,27843
46,49138
22,54615
35,6636
43,60944
41,23040
34,51983
42,145419
32,45698
29,61456
45,117677
43,36242
42,69414
22,90242
29,27089
32,77250
38,15568
25,38925
29,97371
46,58988
44,33625
46,56278
30,49884
45,46647
29,39267
30,40338
48,15297
43,15739
31,13770
38,31906
42,38614
25,178900
23,37355
49,27290
39,31663
50,136246
25,63976
49,39047
23,11824
58,86442
29,68034
44,40179
33,16570
33,37857
29,20541
36,37002
28,170900
23,79320
32,174669
42,31431
35,18723
54,126966
27,17377
42,65685
50,67004
26,50983
61,196107
44,48058
53,22677
23,92773
30,115818
47,9177
30,26831
23,16464
27,52051
21,146719
45,25507
32,107629
44,55625
23,84509
24,45828
45,29239
32,7472
25,57871
33,54627
40,58876
34,70679
28,59441
34,12941
43,85109
25,5134
36,24974
48,33571
70,49069
39,15877
30,177653
26,33170
21,51560
32,79456
35,38075
37,19737
23,77482
24,49801
22,88711
36,18623
30,48666
34,73483
61,11372
46,59508
30,41457
37,174286
28,70738
45,54422
25,118212
48,83459
29,49145
34,12999
34,43015
25,71745
52,163011
27,51254
52,84936
21,86577
27,55094
48,11364
31,58399
48,76601
53,23333
52,55590
49,138157
48,44677
29,78846
48,62156
39,63578
65,82460
39,17969
40,114288
40,66637
37,19202
28,56908
63,38285
25,52213
44,61505
36,78054
30,51183
29,27900
36,72099
55,90409
38,24612
67,108759
34,92536
34,21438
39,54411
52,6545
24,62706
37,58172
27,128386
42,47638
26,6918
20,38099
37,57304
21,87780
37,27949
23,8915
27,150732
48,63983
46,119454
31,57847
33,31776
34,7799
22,39766
39,83836
46,59990
29,53679
33,22636
36,26714
36,16617
31,57855
25,63349
40,77263
27,75730
28,117078
23,80967
53,56624
47,71012
27,104293
49,24381
36,51184
26,84106
25,47822
29,20408
51,87006
34,95914
42,47524
33,145807
39,26393
42,67108
36,183726
44,101413
47,123260
37,12767
37,50526
38,47911
22,41242
67,62250
24,22185
47,17404
26,87946
27,36586
32,54435
29,78180
28,15294
37,129470
35,12714
25,69785
36,123650
28,13266
35,138698
30,66626
21,108284
51,102077
32,49233
34,74637
50,59938
44,138395
37,33822
52,50306
54,61444
35,42445
38,141238
22,31751
26,20491
33,5170
47,138350
35,80991
42,74194
40,69902
40,84474
44,15876
20,62487
31,13501
42,79404
25,144898
36,16027
51,42289
59,129396
42,54947
44,48294
32,58961
29,69859
41,113463
27,91471
35,149452
22,179757
44,39245
28,13417
48,88696
45,54948
27,53452
51,74121
25,37862
28,15911
32,37750
27,100194
32,29327
38,34541
27,26259
45,14652
22,170889
21,56240
31,140303
36,24260
39,17510
50,51185
40,30260
22,88059
42,37302
51,57201
44,17689
30,69349
36,44687
26,49261
39,32621
42,34199
24,71859
33,20571
36,116933
46,124412
25,40668
35,46899
38,39927
37,93765
28,22165
38,53693
45,82288
76,42069
23,113486
23,77014
37,11191
39,14909
24,30663
42,45471
26,7805
28,32492
45,13148
35,10556
31,62875
32,28157
44,101278
27,67807
26,5714
36,141219
21,11654
32,49083
32,7976
36,51670
36,34208
32,60792
28,182226
27,56203
37,12651
34,72144
49,103998
53,5048
50,70571
60,7011
28,14678
43,16541
38,9982
38,39391
35,37098
38,98545
24,46487
21,78374
35,39308
45,64677
54,49299
42,44245
26,27082
42,34752
39,70627
33,76014
45,25392
25,64203
33,58828
43,105536
21,80051
54,63282
35,56495
24,33994
53,18583
26,105205
51,7508
28,86325
55,12824
36,89434
32,55669
27,48373
43,75947
48,25520
31,75433
63,53936
35,37030
38,42356
26,68898
25,29776
25,12711
44,17555
43,66607
31,106006
48,21106
37,101709
47,39142
28,71259
30,47444
38,21142
54,12759
23,57094
47,62935
27,74345
34,19672
32,65506
24,91615
45,52056
36,26855
27,31615
36,14555
38,50805
34,55955
26,77615
59,57911
34,68336
26,39338
40,20444
38,75636
29,43523
30,130377
46,10220
23,110060
30,57471
55,19219
48,10219
52,99651
38,63706
45,54026
32,78913
33,58106
33,48619
34,13576
42,66084
29,10909
27,78438
28,87521
43,78977
39,37792
45,14747
45,31446
26,158608
25,70398
29,23763
40,24242
38,28220
51,79690
53,128232
27,81584
26,64071
21,57964
30,14680
26,44801
35,120272
28,67094
21,98434
51,40806
75,89125
46,76525
22,23190
37,73910
39,62756
48,86717
33,21415
30,13788
44,9735
45,109586
45,102385
57,26989
33,12916
40,49143
36,50852
34,55352
33,30538
32,59218
48,35060
35,87830
38,27467
27,79426
37,17478
37,27182
36,46783
40,20599
37,134109
31,92435
45,30385
37,116998
34,70053
31,62996
54,34236
55,48769
21,100321
25,8980
26,82970
39,61131
30,10905
38,73469
37,23831
28,67462
40,51206
56,29500
32,47024
22,28361
35,53743
24,81727
36,28338
41,19586
24,32206
29,76603
36,45624
37,42920
36,28212
46,25034
31,79578
25,57077
37,68279
44,34769
34,20688
24,5599
38,52066
48,100503
28,26196
53,96269
25,46046
26,52489
20,143629
45,119205
37,13255
40,21568
36,108860
46,13639
29,42275
37,137604
23,127387
26,102098
26,103421
41,92658
25,61534
44,31365
35,90929
42,13438
32,123803
44,11062
47,6199
54,47427
28,82760
39,40272
22,87288
30,80910
23,70296
25,59156
31,45860
24,16239
38,35779
43,8092
44,128881
42,60851
25,85489
30,87126
30,32031
24,49703
20,90080
30,40686
22,68046
35,46957
37,63016
28,163616
29,104929
40,135831
22,57909
31,106395
35,17946
36,44564
58,50551
44,62562
46,46242
31,52210
33,53986
41,27713
42,116711
25,79527
30,7869
22,78908
33,19418
21,73269
41,34399
49,11083
33,30005
30,147816
25,10785
46,32113
35,122508
50,105960
27,35731
29,13340
43,85245
24,23076
46,72713
49,26892
22,29857
24,81459
35,53851
28,16077
29,34415
34,68982
29,46622
47,82490
51,124801
46,8616
59,56818
41,164009
23,33969
50,36255
56,96898
60,33643
44,15215
55,28138
25,25015
47,10888
43,32830
59,41572
26,49955
30,63271
28,29005
26,15164
30,28578
24,81162
28,105643
57,29449
60,100077
20,61944
28,154375
54,49877
41,29980
46,93715
67,40270
24,56187
38,35259
49,57898
29,88834
38,93768
62,63741
28,35859
30,18102
36,27247
40,59209
39,39976
42,21014
31,36079
34,38937
31,73278
34,42228
23,121879
57,31552
27,63332
24,34225
55,55340
48,75693
61,52580
47,105984
22,53723
38,94933
27,87874
38,81029
24,18907
35,66169
49,11651
31,31725
32,14142
53,35709
40,32109
27,27310
50,83349
25,43721
38,62263
40,12557
31,95847
27,9356
40,27366
33,15496
47,126133
29,45057
41,29620
38,89409
24,45201
23,76051
49,97534
27,58885
25,126077
25,11425
30,27048
37,24123
49,65585
49,103487
32,79825
25,24442
34,96811
57,9600
23,18716
31,46481
45,52258
46,15906
48,13298
37,62605
38,53243
26,62932
22,31670
27,67241
44,28635
32,69519
30,110840
29,32186
50,24995
32,169863
51,39644
57,52985
50,95445
32,144929
40,64447
34,36175
43,27050
42,34305
34,19065
33,47424
39,15983
40,10402
25,68402
42,81098
32,30256
34,54529
31,108183
38,150003
22,31344
62,123413
61,139630
30,13607
40,105884
45,49283
56,80209
41,48365
34,59499
48,19000
47,101208
54,74816
42,80021
46,29447
58,9713
33,68496
43,53240
26,41107
28,38015
50,118165
42,17772
42,19470
32,199460
38,82568
24,53895
38,71624
27,23357
34,32383
29,72629
26,15697
51,68523
53,19401
39,48425
27,95217
43,76618
67,25944
45,31673
63,47449
46,42131
34,31366
35,32931
44,139173
46,38160
26,91697
24,107061
32,62782
60,74300
41,83421
22,113173
28,38370
43,44335
41,50645
23,43438
32,123809
44,118176
49,57081
58,7679
50,18346
49,21730
42,62120
41,45846
33,33405
27,92978
43,29636
44,82094
27,33084
20,24733
36,23488
44,151640
34,19306
51,47113
37,133883
51,16559
34,35334
41,84251
24,51548
43,33286
41,172488
21,21982
41,60216
45,24241
47,17448
71,57655
38,137987
49,103384
25,19115
27,109319
31,166524
58,21570
25,54912
36,27114
67,20900
39,27003
37,169702
29,108330
35,102739
35,88002
37,110692
33,33371
27,97268
27,42209
44,52686
35,102553
43,72147
34,45742
43,20948
38,25064
26,92683
38,29587
30,38756
40,27354
40,95317
37,5724
33,7790
30,93916
46,37065
52,27202
25,78636
35,43134
33,23526
41,30897
37,46096
48,57219
21,24469
40,15714
26,77332
44,13233
29,97680
28,59129
33,93273
24,12035
35,120729
32,52554
24,31709
26,10160
53,20961
50,99507
45,65103
42,160272
41,168443
40,50390
33,137402
44,46982
29,8989
42,64662
31,108328
45,48098
39,45298
50,32033
25,20212
37,24927
53,60977
39,13484
37,94702
31,10064
47,35166
29,132735
30,26713
39,35891
33,54717
33,55165
37,72097
50,185788
44,56915
48,41902
48,16910
37,31381
37,15275
21,51064
39,50860
53,28234
28,72679
31,46730
30,19957
51,52990
47,56367
30,100112
28,40820
36,46316
21,12202
34,144397
25,66611
66,43642
57,76270
44,35804
40,81505
28,20581
27,94691
26,129234
34,49066
20,127333
31,122879
39,28764
70,112009
36,69573
25,166401
23,23871
31,36271
37,58826
48,72007
23,15363
51,119626
51,69464
34,95178
52,27283
27,25197
43,9040
35,81116
61,40173
36,12556
49,85129
47,77541
48,24221
28,75379
54,131031
42,104806
24,116021
50,50723
32,14703
72,24402
35,55491
46,73822
42,83069
59,11364
42,31402
36,47303
62,34545
43,130919
36,12972
31,125372
32,27977
24,29701
44,24155
54,19079
34,39925
36,74774
21,131397
34,48814
27,87372
35,100559
36,30388
35,74483
45,58239
23,140516
42,40929
37,53785
32,52905
56,15653
44,113911
46,12944
39,81369
37,8341
42,55253
37,17446
36,87450
29,9781
43,57075
73,24557
41,38776
38,40102
32,71861
24,17789
42,25804
29,30157
45,103379
32,19271
24,11881
45,13548
33,51258
32,45481
36,62301
47,33982
31,43696
37,123779
31,36591
26,39935
27,53515
24,38222
35,61671
49,30686
25,108724
49,7845
38,105916
53,97741
27,24098
64,115330
40,65101
26,114540
25,9003
33,45507
34,43437
47,65223
40,47700
22,72426
52,89212
37,56709
24,71636
39,26191
35,14173
31,29335
30,57263
57,34935
42,78207
30,35675
32,58080
35,14386
23,26502
31,32458
32,176441
39,21715
22,54279
53,60844
29,170649
26,69741
55,53712
44,172584
57,97079
49,39648
49,46805
33,87727
42,73420
26,106619
64,81856
30,18229
23,90322
55,93028
40,115370
32,93387
37,7678
50,60198
50,34311
62,12622
64,40073
34,78741
24,22240
33,62191
56,38768
36,17671
45,112718
49,88270
34,35508
41,39607
30,20365
28,118372
47,130331
36,19730
33,31500
23,16128
26,51267
42,86551
31,12395
31,80064
50,16904
49,41732
43,12428
30,21674
32,89719
30,16620
40,51515
26,44214
32,65578
34,65672
33,97731
47,42026
61,59599
54,23128
25,68573
26,83012
63,73810
26,30130
52,15861
43,84791
32,72026
21,10004
40,35864
45,42779
54,57623
25,7251
24,43093
51,31356
42,40810
28,72652
43,106349
63,68564
24,96867
42,64307
27,123809
49,57695
39,134293
31,45455
29,57569
41,36990
40,46829
38,36482
40,91227
27,146913
51,48627
34,101222
54,14223
35,15617
39,10433
26,43010
29,34515
22,95383
24,15441
27,24430
32,75020
33,75333
42,19692
35,68555
50,120649
36,101224
64,48534
34,84175
36,35022
56,23382
36,17325
32,52909
37,33032
35,37692
56,33305
43,68369
38,38008
55,66968
49,20644
39,10136
44,119132
46,41911
46,35280
25,53705
22,49889
32,37984
30,11248
23,33195
24,64404
25,75188
39,55411
28,37707
50,183574
74,50624
45,37316
43,30606
30,105743
42,22727
40,18316
26,110286
24,79503
31,15720
42,53448
38,9977
42,78478
50,11738
46,29813
25,16017
31,34228
31,47894
40,120214
31,8579
28,33671
22,11041
49,80175
25,31333
29,44710
69,10146
47,96861
29,13997
23,35699
28,86071
40,6141
44,122434
44,22036
23,178997
39,39470
32,38017
27,21515
34,111493
30,101145
23,128285
47,89796
46,20117
32,39982
44,15419
22,60664
42,37327
26,111333
40,32976
34,104399
44,38125
28,85993
32,55368
36,37942
30,39865
41,71019
22,104642
31,110547
25,21623
28,47360
47,20277
24,46932
36,56440
65,63445
34,33763
40,16524
34,44408
37,128682
45,72898
27,77287
38,30171
38,55979
27,11499
29,62298
28,43835
30,32161
38,46248
38,20588
45,56425
33,7576
41,87681
49,119567
31,23030
23,21796
45,30159
40,106083
34,58622
21,14651
33,31536
23,139750
37,30393
28,13234
30,127717
28,8607
31,115906
20,74172
30,43881
57,27435
34,73531
37,47535
39,30312
23,110991
26,58983
36,146185
38,86121
30,20091
22,11639
50,16939
53,55376
25,99229
39,14904
41,47672
23,103563
25,50242
31,95224
38,11995
54,42276
25,137291
33,135565
44,8982
45,105961
